This file was created by CMPT_ME_PRIOR_RETS using the 202208 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,   0.08,   3.57,   0.40,  -0.40,   0.26,   0.00
192702,   7.01,   6.48,   5.51,   7.27,   3.80,   4.47
192703,  -3.46,  -2.88,  -2.06,  -3.57,  -0.18,   2.26
192704,  -0.75,  -0.48,   3.32,  -2.72,   0.75,   1.81
192705,   2.48,  11.15,   6.83,   5.52,   4.96,   7.18
192706,  -2.12,  -0.42,  -2.88,  -3.82,  -2.08,  -1.86
192707,   3.09,   4.32,   6.91,   4.53,   7.84,   9.33
192708,  -0.34,  -0.22,   0.29,   1.21,   2.18,   3.30
192709,   2.48,   0.31,   3.19,   3.02,   4.86,   6.27
192710,  -4.99,  -1.85,  -3.33,  -2.11,  -3.41,  -5.50
192711,  11.28,   8.97,   7.02,   5.12,   6.01,   8.37
192712,   0.27,   5.84,   4.53,   1.23,   1.65,   3.41
192801,   2.78,   3.59,   0.66,  -1.91,  -0.25,  -0.83
192802,  -3.56,  -1.88,  -4.81,  -0.81,  -0.90,  -1.74
192803,   6.90,   7.69,   7.70,   6.75,   5.28,  15.35
192804,   8.68,  10.73,   5.99,   8.19,   4.78,   2.05
192805,   2.77,   2.29,   4.01,  -1.55,   1.12,   3.24
192806,  -9.33,  -7.31,  -6.35,  -5.19,  -4.05,  -4.09
192807,  -1.69,  -0.62,   2.05,   0.01,   0.71,   1.56
192808,   5.10,   2.36,   6.29,   4.33,   6.26,  10.22
192809,   4.19,   5.86,   7.29,   1.36,   1.87,   5.16
192810,   0.23,   1.07,   7.29,   0.73,   0.78,   3.88
192811,   9.97,  11.55,  10.62,   8.64,  13.53,  12.15
192812,  -2.67,   0.71,  -1.74,  -0.47,   0.06,   1.67
192901,  -0.11,   1.71,   2.84,   3.85,   5.21,   5.79
192902,  -0.28,   1.22,   3.19,  -1.53,  -0.82,   1.10
192903,  -4.33,  -5.67,  -3.80,   0.78,   0.71,  -1.03
192904,   1.74,  -0.62,   1.90,  -0.97,   1.74,   2.69
192905, -11.20,  -8.87, -11.98,  -3.61,  -4.51,  -6.91
192906,   4.25,   6.16,  10.38,   3.34,   7.83,  14.40
192907,   0.52,  -0.28,   2.24,   0.78,   4.85,   4.98
192908,  -1.37,  -0.03,   1.87,   5.09,   7.59,  11.24
192909,  -5.76,  -4.10,  -1.87,  -7.40,  -3.58,  -5.35
192910, -24.33, -19.70, -23.22, -27.88, -11.48, -20.79
192911, -12.60, -10.60, -18.17, -14.24,  -8.18, -13.45
192912,  -7.78,  -2.00,  -0.45,   0.09,  -1.55,   3.15
193001,  17.84,   8.76,   6.70,   4.31,   5.44,   5.13
193002,   3.69,   3.99,   2.95,   0.88,   1.90,   2.87
193003,  12.47,  11.22,   6.40,   9.91,   6.49,   7.14
193004,  -5.50,  -6.62,  -2.04,  -5.94,  -2.49,  -1.44
193005,  -6.27,  -1.60,  -2.39,   2.76,  -2.19,  -1.02
193006, -25.75, -18.47, -16.74, -18.61, -17.37, -14.35
193007,   4.71,   3.81,   3.06,   5.77,   6.64,   3.05
193008,  -3.92,  -2.08,   0.82,  -2.63,   0.98,   0.54
193009, -20.41, -16.01, -10.86, -23.20, -13.32,  -9.78
193010, -12.75,  -9.59,  -8.29, -16.40,  -9.59,  -7.13
193011,  -2.29,  -3.32,  -1.63,   1.29,  -3.02,  -2.28
193012, -21.43, -14.89,  -8.15, -17.56,  -9.91,  -4.20
193101,  24.19,  13.94,   9.29,  12.44,   5.99,   5.20
193102,  21.52,  16.13,  10.73,  25.81,  14.32,   7.66
193103, -12.74,  -5.46,  -2.27, -12.60,  -8.65,  -4.15
193104, -21.50, -16.40, -10.60, -18.60, -13.10,  -6.71
193105, -17.22, -14.03,  -6.94, -20.04, -14.30, -11.80
193106,  25.25,  17.64,   8.70,  29.87,  18.37,  10.66
193107, -11.57,  -7.13,  -3.17, -11.91,  -9.07,  -3.94
193108,  -1.38,  -2.54,  -3.51,   5.16,  -0.64,   0.28
193109, -39.36, -30.31, -29.48, -36.76, -30.78, -26.35
193110,  10.07,   9.82,  12.12,   4.13,   8.36,   8.61
193111, -13.22,  -5.78,  -8.76, -16.67, -11.16,  -6.05
193112, -26.00, -22.67, -12.16, -24.15, -16.20,  -9.68
193201,  14.33,   8.68,   1.89,   6.92,  -2.75,  -2.38
193202,   2.45,   0.84,   4.85,   5.49,   5.08,   6.27
193203, -14.85, -11.66,  -6.90, -19.87, -13.79,  -7.98
193204, -22.07, -18.47, -15.85, -22.91, -22.20, -15.20
193205, -25.21, -19.76, -20.47, -37.30, -22.18, -17.48
193206,   3.57,   5.51,   8.24,   1.10,  -2.91,   0.19
193207,  62.55,  42.77,  21.43,  72.64,  41.66,  23.71
193208,  92.53,  68.81,  41.81,  76.15,  45.11,  22.78
193209, -10.64,  -6.18,  -7.85,  -5.28,  -1.40,  -3.36
193210, -16.95, -16.19, -17.62, -20.24, -11.09,  -9.68
193211,  -6.48,  -9.47,  -8.88,  -9.28,  -3.74, -10.53
193212, -11.86,  -8.13,  -2.03,   4.29,   4.62,   5.40
193301,   4.47,   7.65,   2.41,   1.58,   1.42,   0.43
193302, -17.70, -19.70, -15.81, -20.74, -16.19, -14.11
193303,   9.23,  10.57,  14.46,   5.55,   1.28,   5.51
193304,  57.65,  47.40,  49.27,  53.74,  44.01,  29.10
193305,  75.68,  70.35,  67.95,  20.79,  20.21,  19.91
193306,  20.64,  22.44,  21.20,  10.07,  11.65,  17.51
193307, -10.77, -12.78, -11.25,  -8.76, -10.80,  -8.07
193308,   9.02,  11.24,  10.42,   7.28,  16.63,  21.06
193309, -18.48, -15.31, -15.75, -11.54,  -8.53, -11.11
193310, -10.53, -13.06, -13.41,  -7.62,  -8.52,  -9.16
193311,   1.86,   7.21,   6.22,   7.82,   9.98,  15.66
193312,  -0.34,   3.82,   1.33,   0.00,   0.90,   6.68
193401,  38.01,  33.95,  36.10,  14.52,  10.84,  10.49
193402,   2.25,   1.21,   2.45,  -2.36,  -2.53,  -3.14
193403,   2.65,  -0.18,   0.95,  -0.02,  -0.07,   0.36
193404,   2.67,   0.53,  -1.46,  -0.31,  -2.99,  -5.60
193405, -10.25, -11.20, -12.45,  -5.89,  -8.32,  -8.81
193406,  -1.51,   0.11,  -1.59,   3.53,   2.91,   1.69
193407, -23.80, -24.79, -18.05, -19.35, -10.54,  -7.70
193408,  10.94,  12.34,  14.52,   4.24,   5.45,   5.62
193409,  -2.33,  -1.76,  -1.12,   1.54,  -0.99,   0.44
193410,  -6.77,  -1.24,   2.50,  -5.12,  -1.57,  -0.58
193411,  12.06,  15.03,  16.84,   6.36,   8.20,   9.24
193412,   0.11,   1.85,   5.97,  -2.34,   0.37,   1.27
193501,  -5.10,  -3.77,  -3.72,  -7.22,  -3.19,  -1.18
193502, -14.73,  -5.01,  -1.21, -11.27,  -3.19,   3.03
193503, -12.70,  -9.20,  -7.26,  -3.04,  -3.46,  -3.50
193504,  15.62,   8.67,  10.12,  11.35,   9.96,   7.57
193505,   2.66,   2.49,   1.81,   9.42,   3.91,   3.02
193506,  -0.51,   4.74,   7.20,   9.03,   6.00,   6.01
193507,  13.33,  12.40,  12.49,  13.65,   8.04,   6.38
193508,  14.46,   6.47,   5.04,   7.02,   2.34,   2.10
193509,  -0.26,   4.84,   8.81,  -4.17,   2.08,   4.67
193510,   9.57,   8.75,   9.87,   5.53,   6.04,   8.97
193511,  21.51,  10.63,  11.18,   6.22,   4.60,   4.02
193512,   3.50,   6.46,  10.24,   4.54,   3.73,   5.36
193601,  17.92,  11.75,  12.17,   7.19,   6.81,   6.27
193602,   3.75,   7.42,   7.53,   1.12,   2.82,   2.24
193603,   0.45,   0.90,   2.39,  -0.54,   1.65,   1.15
193604,  -7.94, -14.41, -16.84,  -4.69,  -8.34, -11.10
193605,   3.92,   5.15,   7.12,   4.26,   5.54,   6.01
193606,  -0.45,  -0.34,  -1.24,   2.34,   2.26,   3.90
