This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202208 CRSP database.,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates Inc.,,,,,,,,
,,,,,,,,
String,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,Date
196307,-0.39,-0.41,-0.97,0.68,-1.18,0.27,0.9,7/1/1963
196308,5.07,-0.8,1.8,0.36,-0.35,0.25,1.01,8/1/1963
196309,-1.57,-0.52,0.13,-0.71,0.29,0.27,0.19,9/1/1963
196310,2.53,-1.39,-0.1,2.8,-2.01,0.29,3.12,10/1/1963
196311,-0.85,-0.88,1.75,-0.51,2.24,0.27,-0.74,11/1/1963
196312,1.83,-2.1,-0.02,0.03,-0.07,0.29,1.75,12/1/1963
196401,2.24,0.13,1.48,0.17,1.47,0.3,0.86,1/1/1964
196402,1.54,0.28,2.81,-0.05,0.91,0.26,0.26,2/1/1964
196403,1.41,1.23,3.4,-2.21,3.22,0.31,0.75,3/1/1964
196404,0.1,-1.52,-0.67,-1.27,-1.08,0.29,-0.58,4/1/1964
196405,1.42,-0.63,1.86,-0.16,0.17,0.26,2.57,5/1/1964
196406,1.27,0.29,0.62,-0.28,-0.17,0.3,0.46,6/1/1964
196407,1.74,0.5,0.75,0.08,1.91,0.3,-0.35,7/1/1964
196408,-1.44,0.41,0.08,0.12,0.35,0.28,-0.22,8/1/1964
196409,2.69,-0.34,1.7,-0.56,0.62,0.28,-0.41,9/1/1964
196410,0.59,0.87,1.17,-0.43,0.47,0.29,0.08,10/1/1964
196411,0,-0.15,-1.96,0.63,-0.26,0.29,1.03,11/1/1964
196412,0.03,-0.69,-2.48,1.07,-1.5,0.31,-0.74,12/1/1964
196501,3.54,2.44,0.12,0.91,0.1,0.28,-1.44,1/1/1965
196502,0.44,3.31,0.11,0.23,-0.68,0.3,0.32,2/1/1965
196503,-1.34,2.12,1.03,-0.32,0.69,0.36,0.15,3/1/1965
196504,3.11,1.05,0.66,0.3,-2.2,0.31,2.63,4/1/1965
196505,-0.77,0.1,-1.61,-0.45,0.53,0.31,0.6,5/1/1965
196506,-5.51,-4.28,0.59,0.22,0.37,0.35,-3.13,6/1/1965
196507,1.43,1.08,2.2,-1.37,0.03,0.31,4.1,7/1/1965
196508,2.73,2.71,-1,1.9,-0.74,0.33,2.58,8/1/1965
196509,2.86,0.62,-0.13,-0.89,0.8,0.31,3.3,9/1/1965
196510,2.6,3.47,1.56,1.17,-0.65,0.31,3.46,10/1/1965
